Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
JST.CMLBK.FOR FRT. OF VIET NAM,VT:VCB,VCB.HM,6/30/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Banks,Joint Stock Commercial Bank for Foreign Trade of Viet Nam,Active
120 MECHANICAL,VT:CK8,CK8.HNO,4/7/2023,2023,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,120 Mechanical,Active
1369 CONSTRUCTION,VT:C69,C69.HN,4/21/2017,2017,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,1369 Construction,Active
22 JOINT STOCK COMPANY,VT:C22,C22.HNO,5/24/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,22 Joint Stock Company,Active
26 JSC,VT:X26,X26.HNO,7/9/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Aerospace and Defense,26 JSC,Active
28.1 COMPANY,VT:AG1,AG1.HNO,1/10/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Personal Goods,28.1 Company,Active
29 INCON.&.ENGR. JSC.,VT:E29,E29.HNO,11/5/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,29 Incon and Engineering Joint Stock Company,Active
32 JOINT C,VT:A32,A32.HNO,11/29/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Personal Goods,32 Joint C,Active
36,VT:G36,G36.HNO,12/26/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Household Goods and Home Construction,36,Active
382 DONG ANH,VT:DAC,DAC.HNO,4/2/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,382 Dong ANH,Active
386 THANH AN CONSTRUCTION AND INVEST,VT:TA3,TA3.HNO,6/13/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,386 Thanh An Construction and Invest,Active
397 JOINT STOCK COMPANY,VT:BCB,BCB.HNO,8/1/2023,2023,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,397 Joint Stock Company,Active
40 INVESTMENT AND CONSTRUCTION,VT:L40,L40.HN,1/27/2021,2021,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,40 Investment and Construction,Active
532 ONE MEB.LLC.,VT:TS3,TS3.HNO,10/26/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,532 One MEB LLC,Active
577 INVESTMENT,VT:NBB,NBB.HM,2/18/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,577 Investment,Active
715,VT:BMN,BMN.HNO,5/23/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,715,Active
